koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
CANDIDATE,0,0,0,0,4.96061094,135.32139,0.058,2.864,20.4,0.59,1272,12.5,1,1.298
CANDIDATE,0,0,0,0,1.4733245,132.85599,0.197,1.406,124,1.03,1576,11.9,1,0.921
CONFIRMED,0,0,0,0,101.952048,206.3499,0.084,5.991,152.5,1.31,428,10.3,1,1.054
FALSE POSITIVE,0,0,1,0,2.41795911,132.5063,0.145,2.727,100.5,0.53,878,10.1,1,0.534
CANDIDATE,0,0,0,0,5.93218209,135.63378,0.097,4.507,205.3,1.39,1000,14.9,1,0.977
CANDIDATE,0,0,0,0,96.384483,144.86825,0.095,5.253,591,2.41,400,10.4,1,1
CANDIDATE,0,0,0,0,6.05552018,131.59851,0.19,2.818,134.6,0.92,844,9.8,1,0.805
CANDIDATE,0,0,0,0,54.333582,144.7536,0.823,10.545,152,1.7,513,10.5,1,1.221
CANDIDATE,0,0,0,0,4.11754421,132.79189,0.312,4.362,34.3,1.02,1581,22.1,1,1.726
FALSE POSITIVE,1,0,0,0,2.78801663,132.5612,0.796,17.354,14,0.91,2287,21.8,1,2.206
CONFIRMED,0,0,0,0,3.94660745,132.24892,0.278,2.705,309.4,1.4,981,12.7,1,0.806
FALSE POSITIVE,0,0,1,1,4.99473798,136.1785,0.46,3.05,99.5,0.82,917,17.5,1,0.819
CANDIDATE,0,0,0,0,122.749053,170.9953,0.997,8.342,1041.2,6.13,348,15,1,0.976
CANDIDATE,0,0,0,0,4.37992345,133.99121,0.728,4.949,15.5,0.81,1608,13.9,1,1.918
CANDIDATE,0,0,0,0,3.70858595,134.47308,0.115,1.94,305.4,1.33,995,11.3,1,0.771
CANDIDATE,0,0,0,0,9.4527721,135.7805,0.746,3.817,197.3,1.3,832,11.3,1,0.857
CANDIDATE,0,0,0,0,4.3638313,135.33772,0.39,1.457,194.1,1.08,976,10.3,1,0.763
CONFIRMED,0,0,0,0,6.18943952,134.78,0.334,2.3316,83.2,0.65,783,26.8,3,0.721
CANDIDATE,0,0,0,0,6.83006228,135.76099,0.006,3.315,187.4,1.09,882,12.1,1,0.8
CANDIDATE,0,0,0,0,17.1622587,148.6441,1.201,4.668,312.2,22.42,674,11.7,1,0.939
CANDIDATE,0,0,0,0,5.19898615,133.05317,0.428,2.359,136.8,1.04,1035,11.5,1,0.867
CONFIRMED,0,0,0,0,8.70179611,138.24633,0.045,3.048,304.1,1.37,750,11.8,1,0.8
CANDIDATE,0,0,0,0,14.74426,135.04,1.063,8.168,113.6,8.1,784,11.9,2,0.987
FALSE POSITIVE,0,0,1,1,0.933747395,131.51671,0.541,4.798,30.9,1.24,2596,26.7,1,2.174
CONFIRMED,0,0,0,0,6.1082945,131.8756,0.63,3.493,61.1,1.06,1267,10.8,1,1.289
FALSE POSITIVE,1,0,1,1,119.72007,175.8762,0.025,9.48,115.6,1.26,410,9,1,1.176
FALSE POSITIVE,1,0,0,0,1.27839331,132.0902,0.201,6.343,19.5,0.86,2853,15.2,1,1.918
FALSE POSITIVE,1,0,1,0,0.58675746,131.75424,1.183,1.508,143.8,19.91,2157,18.4,1,0.938
CANDIDATE,0,0,0,0,22.599501,152.9112,0.12,4.38,76.9,0.96,734,2.9,1,1.087
CANDIDATE,0,0,0,0,7.28171395,137.30085,0.956,1.723,111.6,2.59,1086,14.4,1,1.806
CANDIDATE,0,0,0,0,44.9851885,150.5703,0.664,4.164,617.8,2.09,433,12.7,2,0.8
CANDIDATE,0,0,0,0,5.89089509,132.43645,0.282,2.402,267.7,1.54,985,11.7,1,0.942
CANDIDATE,0,0,0,0,4.13029832,133.5272,0.041,2.461,325.3,1.44,995,8.7,1,0.81
FALSE POSITIVE,0,0,1,0,4.60690612,135.19221,0.203,4.176,137.5,0.9,950,13.3,1,0.775
FALSE POSITIVE,0,0,1,1,1.50178705,131.56426,0.359,2.936,86.7,0.93,1617,13.4,1,0.987
FALSE POSITIVE,0,1,1,1,17.4453935,135.7609,1.254,6.39,501.7,32.01,770,16.4,1,1.063
CANDIDATE,0,0,0,0,201.325036,174.7724,0.597,14.4,125.4,1.98,410,14.2,1,1.699
CANDIDATE,0,0,0,0,5.59346375,131.50752,0.079,1.668,236.5,1.43,1008,9.5,1,0.933
CANDIDATE,0,0,0,0,3.44928111,133.38221,0.534,1.424,237,1.23,966,9.7,1,0.781
FALSE POSITIVE,0,0,0,1,1.4725859,132.92731,0.377,2.953,84.4,0.93,1662,13.3,1,0.999
CANDIDATE,0,0,0,0,37.9043889,163.7386,0.473,11.638,98.2,1.97,693,13.9,1,1.964
FALSE POSITIVE,0,1,1,0,1.44438449,132.75645,0.466,2.704,75.4,1.08,1980,10.8,1,1.213
CANDIDATE,0,0,0,0,6.88297756,134.16424,0.707,2.065,30.4,0.77,1141,13.2,2,1.298
CANDIDATE,0,0,0,0,2.049602348,132.32639,0.435,1.061,186.1,1.08,1203,11.3,1,0.78
CANDIDATE,0,0,0,0,53.285584,172.297,0.754,6.492,158.6,1.44,537,11,1,1.057
CANDIDATE,0,0,0,0,2.49915311,133.08978,0.666,1.803,179.2,1.02,983,13.4,1,0.72
CANDIDATE,0,0,0,0,105.997107,144.41965,0.667,3.751,430.8,1.83,373,10.9,1,0.831
FALSE POSITIVE,0,0,1,1,2.48882685,132.12332,0.711,3.487,80.2,1.05,1477,14.2,1,1.092
CANDIDATE,0,0,0,0,6.30432354,137.29688,0.665,2.508,40,1.23,1510,10.7,1,1.836
FALSE POSITIVE,1,0,1,0,0.968065631,131.97214,0.518,1.772,92.5,0.68,1487,14,1,0.687
FALSE POSITIVE,0,0,1,0,17.6604653,137.3914,0.689,2.837,309.2,1.76,690,11.3,1,0.94
CANDIDATE,0,0,0,0,3.38419892,131.9355,0.176,1.485,228.2,1.2,1074,11.5,1,0.795
CANDIDATE,0,0,0,0,1.69999106,131.6296,0.388,3.289,95.6,0.55,934,10.6,1,0.554
CANDIDATE,0,0,0,0,1.19260017,132.66994,0.015,1.502,58,0.77,1726,11.7,1,1.013
FALSE POSITIVE,1,0,1,1,4.2059745,132.2828,0.115,8.006,41.2,0.75,1263,7.7,1,1.163
FALSE POSITIVE,1,0,0,1,0.566803216,131.80982,0.424,3.325,20.2,0.54,2642,15.5,1,1.182
FALSE POSITIVE,0,0,1,1,37.809539,158.4002,0.03,7.547,487.4,1.79,483,9.7,1,0.82
CANDIDATE,0,0,0,0,12.003678,134.71007,0.076,2.799,281.7,0.97,503,12,1,0.594
CONFIRMED,0,0,0,0,5.17624997,133.7381,0.097,5.261,78.7,1.31,1243,13.4,1,1.497
FALSE POSITIVE,0,0,1,0,0.589458602,131.82156,0.086,0.8278,158.4,0.98,1848,17.3,1,0.776
CONFIRMED,0,0,0,0,3.91794676,132.86384,0.337,2.549,116.5,0.94,1030,13.5,1,0.87
CANDIDATE,0,0,0,0,4.22426989,132.3611,0.716,4.22,13.6,0.35,1069,11,1,0.883
CANDIDATE,0,0,0,0,56.3479517,163.3795,0.768,8.789,43.6,1.06,586,15.1,1,1.471
FALSE POSITIVE,1,0,0,0,0.934181579,132.39492,0.62,3.943,12.1,0.79,3268,19.8,1,2.152
CANDIDATE,0,0,0,0,19.9778599,135.165,0.172,5.96,83.4,1.07,773,12.8,1,1.162
CANDIDATE,0,0,0,0,3.8183717,133.90812,0.878,2.687,50.8,1.39,1683,11.8,1,1.692
FALSE POSITIVE,0,0,1,0,21.5324915,131.87749,0.5366,4.156,100.5,1.47,876,12.1,1,1.41
FALSE POSITIVE,0,0,1,1,3.74779583,134.2022,0.39,3.157,88.5,1.06,1324,14.4,1,1.111
CANDIDATE,0,0,0,0,9.07829171,138.25933,0.164,0.783,530.9,3.69,984,7,1,1.611
FALSE POSITIVE,1,0,1,1,0.91842238,131.5859,1.186,5.664,162.9,16.07,1525,12.9,1,0.74
CONFIRMED,0,0,0,0,9.74048508,134.87916,0.89,1.6993,121.4,0.95,673,25.8,1,0.721
FALSE POSITIVE,0,0,0,1,5.35745121,131.62784,0.119,2.592,78.2,1.65,1457,16.4,1,1.86
FALSE POSITIVE,0,1,0,1,2.16132662,131.90236,0.778,4.487,112.2,0.5,687,25.3,1,0.43
CONFIRMED,0,0,0,0,6.76289308,135.6771,0.553,6.204,50.9,1.21,1337,14.6,1,1.63
CANDIDATE,0,0,0,0,75.2116373,202.30222,0.058,3.203,362.6,2.83,516,13.1,1,1.5
CANDIDATE,0,0,0,0,6.36283414,131.8069,0.141,3.752,159.4,1.12,956,9.9,1,0.883
CANDIDATE,0,0,0,0,7.53737498,135.80956,0.225,3.966,41.1,0.93,1210,11.3,1,1.436
FALSE POSITIVE,0,0,1,0,1.09844642,132.4402,0.727,1.528,45,1.73,2921,15.1,1,2.391
FALSE POSITIVE,0,0,0,1,25.94947,148.9734,0.678,15.7,238.3,1.22,508,8.2,1,0.748
CANDIDATE,0,0,0,0,7.57600886,135.6293,0.267,3.361,49,0.54,778,12.5,1,0.774
FALSE POSITIVE,0,0,0,1,1.8789138,133.06338,0.536,4.279,30.2,1.9,3330,17.8,1,3.339
FALSE POSITIVE,0,1,1,0,0.514771509,131.94435,0.222,1.256,43.4,0.57,2113,12,1,0.87
CANDIDATE,0,0,0,0,8.61742738,133.50863,0.059,2.713,154.9,1.01,733,11.3,1,0.84
FALSE POSITIVE,0,0,1,0,5.00749378,134.69035,0.206,2.898,56.6,1.68,1499,14.7,1,2.243
CONFIRMED,0,0,0,0,196.436796,173.692,0.019,8.556,631.9,2.33,292,14.4,1,0.946
CANDIDATE,0,0,0,0,8.8303681,134.80059,0.746,3.426,296.2,1.32,676,10.9,1,0.706
CANDIDATE,0,0,0,0,12.85755895,141.85597,0.55,4.831,106.5,1.23,860,14.2,1,1.156
FALSE POSITIVE,1,0,1,1,0.566810643,131.80277,0.315,3.471,45.6,0.52,1976,17.2,1,0.758
CANDIDATE,0,0,0,0,33.502923,158.6469,0.756,11.947,70.9,1.08,645,12.5,2,1.177
CANDIDATE,0,0,0,0,9.3335486,137.6177,0.725,6.643,71.2,1.69,1082,11.7,1,1.863
FALSE POSITIVE,0,0,1,0,2.21030572,133.57674,0.233,2.492,92,1.06,1572,11.4,1,1.09
CANDIDATE,0,0,0,0,9.54060855,131.91276,0.031,1.869,462,1.75,735,11.2,1,0.831
FALSE POSITIVE,0,0,1,0,5.99321872,133.6359,0.02,3.92,203.2,1.23,952,9.5,1,0.868
CANDIDATE,0,0,0,0,1.80926734,132.6883,0.385,2.469,98,0.89,1444,10.9,1,0.891
FALSE POSITIVE,0,1,1,1,0.70544189,131.6954,0.328,1.772,133.5,1.04,1960,13.9,1,0.897
CANDIDATE,0,0,0,0,5.04413987,132.51986,0.727,1.623,172,1.18,862,10.2,2,0.828
FALSE POSITIVE,0,0,1,1,0.933728755,131.54241,0.645,4.363,13.5,0.72,2777,17.9,1,1.863
CANDIDATE,0,0,0,0,5.3694084,133.8117,0.837,3.949,40,0.62,974,8,1,0.869
CANDIDATE,0,0,0,0,5.65690281,131.5761,0.014,3.583,32.2,0.74,1159,10.4,1,1.32
FALSE POSITIVE,0,0,1,0,0.734573766,131.59872,0.044,1.295,68.4,0.86,2061,11.4,1,1.051
FALSE POSITIVE,1,0,0,0,289.86046,258.5572,0.3711,11.103,234.5,1.5,279,10.3,1,0.971
FALSE POSITIVE,0,0,0,1,1.332580225,132.03999,0.519,2.057,46.3,2.18,3111,16.4,1,3.096
CANDIDATE,0,0,0,0,7.4299322,138.7701,0.826,4.013,164.9,1.81,1024,9.8,1,1.252
CANDIDATE,0,0,0,0,79.334347,144.0233,0.652,10.886,164.9,1.56,500,14.6,1,1.15
CANDIDATE,0,0,0,0,5.68251605,131.6745,0,3.479,81.2,1.03,1090,9.4,1,1.157
CANDIDATE,0,0,0,0,7.99144696,136.25855,0.94,3.639,145,1.53,901,12.8,1,1.006
FALSE POSITIVE,1,0,0,0,68.538296,186.21716,0.002,3.627,1087,25.77,1031,11.3,1,8.123
CANDIDATE,0,0,0,0,4.52628739,134.32065,0.5,3.736,99.6,1.02,1089,12.5,2,1.006
FALSE POSITIVE,0,1,1,1,0.643007769,131.68588,0.012,0.69,68.1,0.35,1070,10.3,1,0.421
CANDIDATE,0,0,0,0,0.597018404,131.71277,0.44,0.4778,245.4,1.09,1578,16.5,1,0.63
CANDIDATE,0,0,0,0,4.82025124,134.81355,0.538,2.129,94.1,0.78,1018,8.5,1,0.777
CANDIDATE,0,0,0,0,12.4019263,141.1769,0.924,4.043,211.1,1.49,713,9.5,1,0.832
CANDIDATE,0,0,0,0,152.823896,147.5443,0.119,7.734,456.2,2.45,395,9.9,1,1.137
CANDIDATE,0,0,0,0,6.80899076,132.19078,1.9253,2.077,1192,89.29,795,11.5,1,0.854
FALSE POSITIVE,1,0,0,0,77.915425,160.9193,0.448,8.274,178.8,1.17,367,9.2,2,0.874
CANDIDATE,0,0,0,0,358.818895,416.5775,0.825,2.503,666.1,2.66,262,11.5,1,0.918
CANDIDATE,0,0,0,0,284.727213,142.0923,0.316,10.299,355.3,2.02,278,12.7,1,1.08
FALSE POSITIVE,0,0,1,1,3.74786694,134.17739,0.49,3.632,80.9,0.89,1176,19.1,1,0.971
CANDIDATE,0,0,0,0,30.5392931,156.7026,0.045,6.887,428.2,2.72,669,15,1,1.328
FALSE POSITIVE,0,1,1,0,0.913244995,132.18552,0.286,0.4931,47.8,0.77,1967,10.2,1,1.049
FALSE POSITIVE,0,1,1,0,0.584148495,131.84461,0.584,1.6192,66.2,0.87,2130,21.9,1,1.031
CANDIDATE,0,0,0,0,12.6362048,134.4588,0.174,3.961,124,1.1,774,11.5,1,0.992
FALSE POSITIVE,1,0,1,0,0.579770948,132.081304,0.946,1.0377,467.9,2.4,1953,44.3,2,0.854
FALSE POSITIVE,1,0,0,0,0.92225589,131.8088,0.992,4.227,33,1.29,2206,7.1,1,1.485
CANDIDATE,0,0,0,0,7.94004281,135.4315,0.004,3.282,81.9,0.98,1010,10.7,1,1.081
FALSE POSITIVE,0,0,1,1,0.75499096,131.8315,0.322,2.485,215.8,1.39,1949,9.9,1,0.946
CANDIDATE,0,0,0,0,8.95294046,134.33731,0.718,2.995,44,0.86,1012,13,1,1.207
FALSE POSITIVE,1,0,1,1,1.428596987,132.79165,0.7017,2.1401,50,1.62,2637,26.1,1,2.144
CANDIDATE,0,0,0,0,4.84350003,134.81488,0.906,3.045,50.2,0.9,1121,10.4,1,1.056
CANDIDATE,0,0,0,0,36.7614011,137.7551,0.984,15.982,160.9,1.52,475,16.2,1,0.823
CANDIDATE,0,0,0,0,4.373570433,133.82814,0.1,0.623,366,1.23,727,14.5,1,0.64
FALSE POSITIVE,0,1,0,0,43.0759115,160.13883,1.256,90.95,3452,213.46,1032,323.1,1,5.915
CANDIDATE,0,0,0,0,154.674369,177.3621,0.777,9.35,435.8,2.29,371,13.5,1,1.002
FALSE POSITIVE,0,0,1,0,1.02087831,131.66089,0.148,2.429,33.4,0.64,1903,9.9,1,1.106
FALSE POSITIVE,0,0,1,0,1.26132769,132.4274,0.289,1.244,109.7,0.14,447,9.9,1,0.132
FALSE POSITIVE,0,1,0,1,1.1578141,132.43684,0.564,3.253,54.8,1.24,2133,27.8,1,1.629
CANDIDATE,0,0,0,0,15.9513866,146.45425,0.197,2.285,99.2,1.17,849,9.2,1,1.168
FALSE POSITIVE,0,0,1,0,24.1876477,145.8464,1.8212,2.654,194.8,118.8,782,11.4,1,1.31
CANDIDATE,0,0,0,0,7.7859111,137.8734,0.675,7.788,45.5,0.68,939,12,1,0.954
FALSE POSITIVE,0,0,1,0,2.44926655,132.82121,0.253,2.988,108.2,0.76,1033,10.7,1,0.749
FALSE POSITIVE,0,0,1,1,2.17812826,132.03068,0.344,2.601,100.8,0.81,1206,10.4,1,0.805
FALSE POSITIVE,0,0,1,1,1.33259494,132.0286,0.104,2.783,92.7,0.89,1665,7.8,1,0.918
FALSE POSITIVE,0,0,1,1,2.05048377,133.2849,0.013,3.67,60.5,0.66,1339,14.3,1,0.854
FALSE POSITIVE,0,0,1,1,1.19550618,132.3006,0.483,3.337,26.9,0.78,2152,13.3,1,1.463
FALSE POSITIVE,1,0,0,0,0.683082998,131.73271,0.694,4.409,143.3,9.92,6757,26.1,1,7.762
FALSE POSITIVE,1,0,1,0,0.791771167,131.523083,1.224,2.4463,509.2,82.71,3419,82.4,1,3.07
FALSE POSITIVE,0,1,0,0,0.894172544,131.51006,0.162,0.8302,86.2,0.68,1461,16.9,1,0.736
FALSE POSITIVE,0,0,1,0,1.68207624,132.12513,0.56,1.519,54.7,1.01,1980,11.1,1,1.311
CANDIDATE,0,0,0,0,9.8480917,136.80247,0.127,3.079,141.9,0.88,711,9.7,1,0.748
FALSE POSITIVE,0,0,1,0,0.969602551,131.93121,0.415,1.728,111,0.69,1334,10.4,1,0.66
FALSE POSITIVE,0,0,1,0,9.25801294,132.88335,0.186,2.854,88.1,1.73,1229,12.9,1,1.834
FALSE POSITIVE,0,1,1,1,25.9554044,148.7989,0.952,8.491,122.7,1.46,656,11.6,1,1.038
FALSE POSITIVE,1,0,0,0,0.93479255,131.88578,1.2,4.5838,247.5,24.75,2040,78.3,2,1.053
CANDIDATE,0,0,0,0,54.0812235,145.2689,0.182,6.279,411.1,1.54,431,11.6,1,0.762
FALSE POSITIVE,0,0,1,0,8.2344072,137.4733,0.812,2.808,59.2,1.49,1263,11.5,1,1.741
FALSE POSITIVE,0,0,1,1,3.5564279,133.5377,0.359,6.998,131.4,0.8,972,12.3,1,0.694
FALSE POSITIVE,1,0,1,1,0.566796775,131.83811,0.974,5.471,144.1,0.61,931,32.2,1,0.358
CONFIRMED,0,0,1,0,13.6471211,132.2552,0.617,8.331,75,1.25,913,14.7,1,1.382
CONFIRMED,0,0,0,0,16.473474,142.68604,0.014,4.201,470.5,1.63,612,13,1,0.754
FALSE POSITIVE,0,0,1,1,3.74788322,134.17324,0.544,3.45,242.6,1.32,1031,16.3,1,0.826
CANDIDATE,0,0,0,0,8.5291223,135.74043,0.606,3.241,325.4,2.08,911,12.8,1,1.111
FALSE POSITIVE,0,0,1,1,1.08906057,132.0391,0.29,2.743,76.2,0.75,1511,10.4,1,0.881
FALSE POSITIVE,0,1,0,1,0.716709761,132.05103,0.986,0.6969,68.4,1.42,2394,21.2,1,1.173
CANDIDATE,0,0,0,0,6.4546845,135.5436,0.93,3.071,69.9,1.38,1244,10.8,1,1.362
FALSE POSITIVE,1,0,0,1,1.04588635,131.9887,0.204,2.833,102.7,1.1,1972,13.2,1,1.076
CANDIDATE,0,0,0,0,0.494247662,131.84441,0.366,1.2443,224.9,1.51,2257,18.1,1,0.998
CANDIDATE,0,0,0,0,11.8299383,138.3039,0.502,5.168,41.4,1.6,1177,11.7,1,2.431
FALSE POSITIVE,0,1,1,0,1.085229874,132.10036,0.439,0.652,238.1,1.37,1632,7.6,1,0.851
CANDIDATE,0,0,0,0,5.30179786,135.9927,0.357,2.24,197.2,1.22,973,11.5,2,0.864
CONFIRMED,0,0,0,0,3.60011712,133.25983,0.025,2.396,50.2,0.5,938,21.6,5,0.721
CANDIDATE,0,0,0,0,9.32867952,135.87513,0.035,1.572,354.4,1.62,806,12.7,1,0.864
CANDIDATE,0,0,0,0,3.5944891,132.36207,0.041,2.557,89.9,0.98,1178,10.4,1,1.046
FALSE POSITIVE,1,0,1,0,0.739404894,131.69907,0.077,1.753,246.8,0.94,1256,21,1,0.624
CANDIDATE,0,0,0,0,4.04481159,133.60007,0.393,2.479,33,0.67,1325,7.5,1,1.141
FALSE POSITIVE,0,0,1,0,1.71051215,131.65812,0.057,1.284,42.2,1.04,2004,11.2,1,1.589
FALSE POSITIVE,0,1,1,0,84.8062818,192.37227,1.265,9.0006,9936,36.51,388,121.6,1,0.853
FALSE POSITIVE,0,1,1,1,17.99643716,134.910537,1.122,4.164,36923,30.08,468,123.5,1,0.666
CONFIRMED,0,0,0,0,11.63486009,140.50071,0.053,5.466,292.3,2.61,961,18.4,2,1.548
CANDIDATE,0,0,0,0,4.8302364,134.9522,0.316,7.983,22.5,1.06,1453,11.6,2,2.247
CANDIDATE,0,0,0,0,56.446465,170.59,0.874,7.371,147.9,1.57,522,12.4,1,1.117
CANDIDATE,0,0,0,0,31.4202111,132.7457,0.075,4.021,390.5,1.45,471,10.6,1,0.748
CONFIRMED,0,0,0,0,10.8118317,137.13426,0.896,2.627,76.8,1.24,922,9.5,1,1.196
CANDIDATE,0,0,0,0,5.56676609,132.49956,0.392,1.812,173.8,1.12,859,12,1,0.859
FALSE POSITIVE,0,0,1,1,1.208528832,131.97963,0.039,1.336,180.8,1.25,1725,10.6,1,0.923
FALSE POSITIVE,1,0,1,0,0.93198504,131.62897,1.19,2.0472,326.6,17.72,1647,44.5,2,0.777
FALSE POSITIVE,1,0,1,0,0.60818508,131.62275,1.835,0.909,144.7,96.03,2298,18.9,1,1.043
CANDIDATE,0,0,0,0,13.2965044,136.5669,0.902,5.68,133.4,0.88,488,9.1,1,0.613
CANDIDATE,0,0,0,0,21.8420304,150.82731,0.208,3.843,79.5,2.01,1016,9.5,1,2.241
FALSE POSITIVE,0,1,1,1,0.962825082,132.21375,0.088,2.8464,118.1,5.18,3265,40.7,1,4.928
CANDIDATE,0,0,0,0,0.876850385,131.77033,0.049,1.534,59.2,1.35,2543,9.7,1,1.756
FALSE POSITIVE,0,1,1,1,24.2416103,155.0323,0.069,5.137,323.4,1.61,596,10.8,1,0.904
CANDIDATE,0,0,0,0,20.7106368,140.89982,0.604,2.693,142.5,1.12,626,11,1,0.901
FALSE POSITIVE,0,0,1,0,69.3788597,154.19137,0.539,3.807,530.4,2.07,421,16.8,1,0.874
CONFIRMED,0,0,0,0,29.3493852,148.46564,0.75,4.313,659.2,2.02,451,20.3,1,0.722
CANDIDATE,0,0,0,0,3.43633133,132.42697,0.114,0.675,473.5,1.44,945,14.5,1,0.651
CANDIDATE,0,0,0,0,142.703888,212.0311,0.062,5.808,225.5,1.95,440,11,1,1.289
CANDIDATE,0,0,0,0,3.38080537,133.94842,0.067,3.275,200.9,1.69,1362,11.6,1,1.193
CANDIDATE,0,0,0,0,10.4716194,136.2877,0.184,4.512,123.9,1.74,1035,11.7,1,1.574
FALSE POSITIVE,1,0,0,0,0.708726708,132.08629,0.28,0.753,313.6,0.92,1302,13.4,2,0.515
CANDIDATE,0,0,0,0,6.78788113,136.3345,0.022,2.26,73.1,2.44,1679,7.8,2,2.829
CANDIDATE,0,0,0,0,5.47455167,133.55529,0.931,3.71,73.2,1.4,1155,10.8,1,1.312
CANDIDATE,0,0,0,0,4.8754765,133.29167,0.084,1.902,39.6,0.8,1180,8.8,1,1.286
CONFIRMED,0,0,0,0,65.6491001,174.79319,0.038,7.298,983.9,2.52,390,20.5,1,0.819
CONFIRMED,0,0,0,0,25.1593389,153.0404,0.035,5.198,358.1,1.76,619,13.1,1,0.935
CANDIDATE,0,0,0,0,10.5071781,139.66432,0.232,2.68,271.8,1.41,737,11.1,1,0.865
CONFIRMED,0,0,0,0,31.7787564,136.76929,0.29,8.093,262,1.5,564,25.9,1,0.928
FALSE POSITIVE,0,1,1,1,1.332568744,132.04697,0.751,3.755,24.1,0.58,1941,29.1,1,1.081
CANDIDATE,0,0,0,0,8.8493948,139.786,0.819,6.928,43.8,0.82,978,12.1,2,1.11
CANDIDATE,0,0,0,0,16.4491515,145.7441,0.866,6.696,70.9,2.75,1036,11,1,2.789
CANDIDATE,0,0,0,0,0.428046051,131.83682,0.041,0.776,126,0.87,2017,14.1,1,0.775
FALSE POSITIVE,0,0,1,1,0.814278961,131.64806,0.451,2.087,72,0.76,1762,13,1,0.886
FALSE POSITIVE,0,0,1,0,19.254536,148.0172,0.806,4.754,186,1.32,625,9.2,2,0.868
FALSE POSITIVE,0,0,1,0,2.42649862,133.70347,0.673,2.014,29.2,0.75,1638,15.2,1,1.316
FALSE POSITIVE,1,0,1,0,19.7639874,134.17,0.489,12.319,51.3,1.19,900,13.5,1,1.617
CONFIRMED,0,0,0,0,7.5143967,136.1851,0.399,4.865,36.3,0.96,1199,9.8,3,1.573
CONFIRMED,0,0,0,0,33.1981761,142.09873,0.826,4.709,336.7,3.21,678,11.8,3,1.548
CONFIRMED,0,0,0,0,5.32784157,133.55005,0.116,4.696,87.2,0.86,1023,15.9,2,0.928
CANDIDATE,0,0,0,0,71.05457555,134.734589,0.061,1.9162,4853.2,5.91,390,95.9,1,0.865
CANDIDATE,0,0,0,0,20.5512722,141.087,0.946,4.639,191.2,1.64,607,20,1,0.918
CANDIDATE,0,0,0,0,7.5861587,132.7988,0.858,4.32,116.8,1.07,928,10.8,1,0.871
FALSE POSITIVE,0,1,1,0,1.08469871,131.7376,0.672,4.077,124,1.11,1757,16.9,1,0.938
CANDIDATE,0,0,0,0,3.19938075,133.01116,0.268,1.761,76.1,0.62,1026,9.8,1,0.702
CANDIDATE,0,0,0,0,3.04185157,132.50422,0.176,1.434,69,0.71,1184,11.1,1,0.857
FALSE POSITIVE,0,0,1,1,1.23512429,132.00059,0.556,4.22,15.2,0.38,1642,15.7,1,0.941
CANDIDATE,0,0,0,0,1.89873195,132.09278,0.197,1.382,78,0.93,1524,10.2,1,1.05
CANDIDATE,0,0,0,0,11.39110963,137.69665,0.569,2.749,593.4,1.9,632,12.1,1,0.76
CONFIRMED,0,0,0,0,2.41810158,132.38894,0.016,2.144,46.8,0.85,1602,13.4,1,1.239
FALSE POSITIVE,1,0,0,0,58.3437362,169.90401,1.246,22.482,1266.8,93.55,779,75,1,3.006
FALSE POSITIVE,0,0,1,0,1.070982122,131.98355,0.563,1.255,43.4,0.98,2122,9,1,1.433
CANDIDATE,0,0,0,0,18.0939004,139.01706,0.445,3.294,467.3,1.91,665,11.6,1,0.867
CANDIDATE,0,0,0,0,34.9524256,163.52048,1.225,1.717,677,21.74,429,15.8,1,0.779
FALSE POSITIVE,0,1,0,0,23.81578356,141.84883,0.958,3.7591,4856.7,8.4,560,71,1,0.818
CONFIRMED,0,0,0,0,47.0568476,161.05864,0.027,5.2232,1531.2,2.84,411,38,1,0.74
FALSE POSITIVE,1,0,1,0,0.743495989,132.18904,1.144,2.255,172.8,11.82,1617,26,2,0.686
FALSE POSITIVE,0,0,1,0,1.405887031,132.01147,0.364,1.184,216,0.95,1086,13.8,1,0.653
CANDIDATE,0,0,0,0,17.7412303,144.3554,0.065,4.816,144.7,1.14,684,9.2,1,0.956
CANDIDATE,0,0,0,0,2.63527677,133.97919,0.646,1.997,70.4,0.76,1136,10.7,1,0.864
CANDIDATE,0,0,0,0,147.388124,174.6537,0.005,8.781,909.2,3.03,356,15.8,1,1.007
CANDIDATE,0,0,0,0,4.11497357,135.318,0.396,3.025,154.1,1.17,1137,9.7,1,0.927
FALSE POSITIVE,1,0,0,0,1.54945486,132.47682,0.228,6.698,21.8,1.34,3006,20.9,1,2.804
CONFIRMED,0,0,0,0,10.60052083,132.98523,0.729,4.509,60.9,1.09,987,17.4,1,1.303
CONFIRMED,0,0,0,0,21.8634638,145.2419,0.502,3.542,871,2.37,551,9.9,1,0.789
CONFIRMED,0,0,0,0,63.3354719,162.6161,0.029,3.651,983,1.18,202,13,5,0.383
FALSE POSITIVE,0,1,1,0,14.77820911,144.09725,1.258,5.395,10774,44.48,809,123.1,1,1.046
FALSE POSITIVE,0,0,1,0,2.4826619,133.78028,0.731,2.115,37,0.8,1619,10,1,1.225
FALSE POSITIVE,0,1,0,1,2.17811908,132.02334,0.3437,1.468,74,0.8,1412,9.8,1,0.921
FALSE POSITIVE,0,0,1,0,1.11205787,132.01568,0.008,1.459,118.7,1.02,1799,16.1,1,0.932
