koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
FALSE POSITIVE,0,1,0,0,9.286358079,171.8214689,0.377,3.49949,44791,17.61,796,1671.1,1,0.821
CONFIRMED,0,0,0,0,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888,49.1,2,1.384
CONFIRMED,0,0,0,0,6.15560285,134.81656,0.235,4.9843,285,2.32,1146,35.1,3,1.384
CONFIRMED,0,0,0,0,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,19.9,5,1.384
CONFIRMED,0,0,0,0,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,50.4,2,1.402
CONFIRMED,0,0,0,0,56.2279271,132.29259,0.7,3.57,862.7,2.37,366,20.9,2,0.756
FALSE POSITIVE,0,1,1,1,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,50.5,1,0.701
CONFIRMED,0,0,0,0,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,38.4,1,0.779
CONFIRMED,0,0,0,0,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,22.8,2,0.779
FALSE POSITIVE,0,1,0,0,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114,269.7,1,0.988
CONFIRMED,0,0,0,0,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,99.5,1,0.877
CONFIRMED,0,0,0,0,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,54.4,1,0.826
CONFIRMED,0,0,0,0,14.49645186,143.41659,0.97,4.016,647.5,3.01,613,25.7,2,0.826
CANDIDATE,0,0,0,0,6.54626149,133.85964,0.644,2.75,655.9,2.19,810,24.8,3,0.817
CONFIRMED,0,0,0,0,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562,52.7,1,0.686
CONFIRMED,0,0,0,0,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,51.7,2,0.686
CONFIRMED,0,0,0,0,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234,240.6,1,1.135
CONFIRMED,0,0,0,0,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151,116.1,1,0.978
CONFIRMED,0,0,0,0,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727,74.6,1,0.987
CONFIRMED,0,0,0,0,27.80756622,186.713552,0.782,4.21587,25391,13.84,554,748.1,1,0.785
CONFIRMED,0,0,0,0,80.8723469,203.895,0.527,11.195,3604.6,7.59,452,160.9,1,1.238
CONFIRMED,0,0,0,0,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712,62,1,1.317
CONFIRMED,0,0,0,0,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777,49.2,1,0.918
CONFIRMED,0,0,0,0,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,62.6,1,0.826
CANDIDATE,0,0,0,0,235.9986399,208.399822,0.778,8.2284,20715,10.59,188,271.8,1,0.657
CONFIRMED,0,0,0,0,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445,45.5,2,0.787
CONFIRMED,0,0,0,0,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,22.6,4,0.787
CONFIRMED,0,0,0,0,56.0560754,201.16578,0.018,4.685,1626,1.94,233,27.4,1,0.491
CONFIRMED,0,0,0,0,41.40831669,195.78745,0.377,5.0264,22839,11.38,453,907.8,1,0.747
CANDIDATE,0,0,0,0,39.74893077,172.854644,0.881,7.3051,15179,14.21,552,561.1,1,0.964
CONFIRMED,0,0,0,0,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,355.7,1,2.057
FALSE POSITIVE,0,1,0,0,13.61014819,173.987319,1.081,2.594,5732.9,19.02,733,184.1,1,0.903
FALSE POSITIVE,0,1,1,1,10.44331991,175.4046,0.23,2.743,1159.8,2.66,667,51.7,1,0.802
CONFIRMED,0,0,0,0,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160,30.7,1,0.81
FALSE POSITIVE,0,1,0,0,5.851520671,173.8228336,0.211,3.11058,33004,14.62,901,1630.4,1,0.806
CONFIRMED,0,0,0,0,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221,64.8,1,0.94
CONFIRMED,0,0,0,0,4.311780262,173.576483,0.196,2.7251,1154,3.11,1038,86.1,1,0.927
CONFIRMED,0,0,0,0,20.0504494,188.08821,0.383,4.556,840.9,2.69,622,37.8,2,0.927
CONFIRMED,0,0,0,0,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791,21.1,3,0.927
CANDIDATE,0,0,0,0,119.0207044,222.236492,0.076,8.1405,7430.5,8.98,366,223.5,1,1.062
FALSE POSITIVE,0,1,1,0,2.861159894,171.648106,0.965,1.8832,1014.3,4.37,1355,58.3,1,1.021
CONFIRMED,0,0,0,0,26.44439337,194.12074,0.03,3.9783,1843.5,3.91,562,88,2,0.929
CONFIRMED,0,0,0,0,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450,155.5,1,0.929
CONFIRMED,0,0,0,0,5.902245782,136.78393,0.209,2.9003,702.3,2.43,926,59.3,3,0.929
CONFIRMED,0,0,0,0,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253,41.4,4,0.929
CONFIRMED,0,0,0,0,21.02250608,207.67593,0.036,4.1072,1772.5,3.07,521,62.4,1,0.75
CONFIRMED,0,0,0,0,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998,30.5,3,0.787
FALSE POSITIVE,0,1,0,0,12.94066866,179.423014,0.897,2.4845,42450,22.94,723,307.5,1,0.809
CONFIRMED,0,0,0,0,33.60123371,186.680343,0.67,4.4056,7425.9,8.46,495,247.9,1,0.93
CONFIRMED,0,0,0,0,4.601811819,169.98108,0.567,2.2607,755.9,2.35,896,60.8,1,0.833
CONFIRMED,0,0,0,0,11.18719905,137.17814,0.387,3.252,353.6,1.55,667,21.9,2,0.833
CONFIRMED,0,0,0,0,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635,87.2,1,0.633
CONFIRMED,0,0,0,0,12.03987488,181.22536,0.286,2.7363,1250.6,2.18,502,57.6,2,0.633
CONFIRMED,0,0,0,0,20.83762895,132.08488,0.706,2.3734,439,1.42,418,14.9,3,0.633
FALSE POSITIVE,0,1,1,1,8.8111022,136.4568,1.223,5.0683,401.1,63.66,1399,76.8,1,2.404
CONFIRMED,0,0,0,0,23.58917143,173.81994,0.926,5.073,1200.7,3.16,487,53.3,1,0.721
CONFIRMED,0,0,0,0,6.481633073,122.977657,0.833,3.784,298.5,2.54,1145,125.6,1,1.302
CONFIRMED,0,0,0,0,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720,64.5,1,0.888
CANDIDATE,0,0,0,0,3.96996298,137.75447,0.836,1.1757,299.2,1.78,992,15,2,0.888
CONFIRMED,0,0,0,0,226.8904775,207.35971,0.731,7.558,3136.4,4.53,236,46.8,2,0.75
FALSE POSITIVE,0,1,0,0,1.956811408,170.694208,1.091,2.1958,24905,21.58,1109,125.4,1,0.603
CANDIDATE,0,0,0,0,2.688899233,170.1020904,0.001,2.11275,37492,12.04,929,1011.6,1,0.639
CONFIRMED,0,0,0,0,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686,175.2,1,0.779
CONFIRMED,0,0,0,0,11.52306746,131.969055,0,3.8757,507.3,3.13,927,142,1,1.411
CONFIRMED,1,0,0,0,20.47748843,178.66786,0.497,2.8364,1382.4,2.92,530,52.7,2,0.779
CONFIRMED,0,0,0,0,3.336123113,135.31623,0.252,1.9616,516.3,1.74,970,41.6,3,0.779
CONFIRMED,0,0,0,0,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453,48.5,1,0.47
CONFIRMED,0,0,0,0,12.07134205,143.45948,0.014,4.3224,759.2,1.29,395,31,2,0.47
CONFIRMED,0,0,0,0,20.99587872,152.31554,0.228,2.6333,767.3,1.3,328,18.2,3,0.47
FALSE POSITIVE,0,1,0,0,1.000747038,169.974229,0.908,0.9967,1823.5,4.14,1620,147.4,1,0.79
CONFIRMED,0,0,0,0,8.884922995,169.991686,0.069,2.07004,16053,10.51,770,388.2,1,0.843
CONFIRMED,0,0,0,0,8.09888906,176.623731,0.018,4.20241,6911.1,8.95,986,435.9,1,1.076
CONFIRMED,0,0,0,0,10.00653012,176.96898,0.862,5.344,936.1,3.52,876,71.9,1,1.001
CONFIRMED,0,0,0,0,17.85522168,146.596466,0.075,7.41287,9065.2,13.16,911,915.7,1,1.367
CANDIDATE,0,0,0,0,83.92494032,236.76334,0.658,6.7904,7958.7,4.78,226,182.1,1,0.509
CONFIRMED,0,0,0,0,5.007316661,173.433997,0.344,4.2362,6932.3,6.96,998,431.4,1,0.827
CONFIRMED,0,0,0,0,2.211116989,170.150139,0.69,1.6485,724.2,1.85,931,42.6,1,0.646
CONFIRMED,0,0,0,0,27.9541337,178.73791,0.063,3.95,942.5,1.9,400,25.4,3,0.646
CONFIRMED,0,1,0,0,12.69104387,137.12594,0.008,3.7727,252.1,2.57,1008,60.2,1,1.626
FALSE POSITIVE,0,1,0,0,4.409409243,171.89433,0.028,3.8636,12861,10.95,1101,85.8,1,0.975
CONFIRMED,0,0,0,0,16.23947096,175.569907,0.043,4.0374,2590.7,4.14,598,123.8,1,0.837
CONFIRMED,0,0,0,0,2.052349884,169.890622,0.437,2.0778,14281,13.12,1497,1072.1,1,1.08
CONFIRMED,0,0,0,0,9.7704486,175.71372,0.09,2.4517,1897.8,2.23,460,58,1,0.509
